Timepoint,usLatencyMin,usLatencyMax,usLatencyAvg,usJitter,usDelayFactor,pktReceived,pktLost,pktReordered,pktReorderDist
2022-04-14T17:49:13.688226+0200,368323,369010,368677,174,692,85910,0,0,0
2022-04-14T17:49:14.688355+0200,368306,368992,368628,240,665,86385,0,0,0
2022-04-14T17:49:15.690252+0200,368256,368913,368613,216,651,86861,0,0,0
2022-04-14T17:49:16.692220+0200,368215,368883,368570,172,641,87337,0,0,0
2022-04-14T17:49:17.693899+0200,368160,368875,368579,187,706,87813,0,0,0
2022-04-14T17:49:18.694068+0200,368141,377609,368594,113,9455,88288,0,0,0
2022-04-14T17:49:19.695562+0200,368104,368773,368478,210,653,88764,0,0,0
2022-04-14T17:49:20.697627+0200,367612,377211,368053,143,9581,89240,0,0,0
2022-04-14T17:49:21.699461+0200,367554,368232,367906,267,654,89716,0,0,0
2022-04-14T17:49:22.701432+0200,367509,368200,367946,149,674,90192,0,0,0
2022-04-14T17:49:23.702977+0200,367492,368220,367877,181,735,90668,0,0,0
2022-04-14T17:49:24.703179+0200,367438,368121,367838,148,662,91143,0,0,0
2022-04-14T17:49:25.704741+0200,367411,368121,367756,204,682,91619,0,0,0
2022-04-14T17:49:26.705043+0200,367356,368089,367766,168,710,92094,0,0,0
2022-04-14T17:49:27.707009+0200,367339,368016,367792,115,683,92570,0,0,0
2022-04-14T17:49:28.708890+0200,367278,367954,367736,110,686,93046,0,0,0
2022-04-14T17:49:29.710975+0200,367263,367956,367699,116,677,93522,0,0,0
2022-04-14T17:49:30.712905+0200,367223,367911,367673,133,694,93998,0,0,0
2022-04-14T17:49:31.714791+0200,367193,367864,367597,138,666,94474,0,0,0
2022-04-14T17:49:32.715984+0200,367177,369151,368923,142,1988,94949,0,0,0
2022-04-14T17:49:33.718104+0200,368459,369175,368775,218,704,95425,0,0,0
2022-04-14T17:49:34.719977+0200,368423,369151,368762,280,724,95901,0,0,0
2022-04-14T17:49:35.721975+0200,368377,369062,368781,253,661,96377,0,0,0
2022-04-14T17:49:36.723706+0200,368334,369040,368697,303,709,96853,0,0,0
2022-04-14T17:49:37.725976+0200,368324,369001,368652,226,662,97329,0,0,0
2022-04-14T17:49:38.727833+0200,368280,368943,368628,262,659,97805,0,0,0
2022-04-14T17:49:39.729851+0200,368213,369520,368615,207,1286,98281,0,0,0
2022-04-14T17:49:40.731445+0200,368202,368914,368612,171,711,98757,0,0,0
2022-04-14T17:49:41.733452+0200,368191,368842,368537,145,657,99233,0,0,0
2022-04-14T17:49:42.733538+0200,368150,368784,368504,195,628,99708,0,0,0
2022-04-14T17:49:43.733918+0200,368101,369077,368560,268,1006,100183,0,0,0
2022-04-14T17:49:44.735722+0200,368413,369084,368751,173,659,100659,0,0,0
2022-04-14T17:49:45.737745+0200,368379,369058,368757,166,683,101135,0,0,0
2022-04-14T17:49:46.739355+0200,368348,369003,368731,172,659,101611,0,0,0
2022-04-14T17:49:47.741282+0200,368305,368964,368593,193,675,102087,0,0,0
2022-04-14T17:49:48.743141+0200,368257,368981,368634,129,711,102563,0,0,0
2022-04-14T17:49:49.743115+0200,368192,369681,368453,235,1455,103038,0,0,0
2022-04-14T17:49:50.743339+0200,368182,368871,368552,227,708,103513,0,0,0
2022-04-14T17:49:51.744807+0200,368146,368831,368433,189,676,103989,0,0,0
2022-04-14T17:49:52.745011+0200,368107,368786,368493,221,693,104464,0,0,0
2022-04-14T17:49:53.745035+0200,368069,368757,368370,250,656,104939,0,0,0
2022-04-14T17:49:54.746690+0200,368016,368703,368280,267,673,105415,0,0,0
2022-04-14T17:49:55.747290+0200,368008,369045,368697,270,1055,105890,0,0,0
2022-04-14T17:49:56.749262+0200,368367,369052,368801,160,680,106366,0,0,0
2022-04-14T17:49:57.750796+0200,368338,369004,368678,231,672,106842,0,0,0
2022-04-14T17:49:58.750845+0200,368301,368987,368647,217,674,107317,0,0,0
2022-04-14T17:49:59.750813+0200,368259,373637,368589,198,5368,107792,0,0,0
2022-04-14T17:50:00.752358+0200,368196,369616,368474,271,1418,108268,0,0,0
2022-04-14T17:50:01.752588+0200,368168,368886,368496,148,717,108743,0,0,0
2022-04-14T17:50:02.754654+0200,368146,368798,368527,172,658,109219,0,0,0
2022-04-14T17:50:03.756136+0200,368090,368772,368364,216,663,109695,0,0,0
2022-04-14T17:50:04.756162+0200,368060,368746,368415,301,675,110170,0,0,0
2022-04-14T17:50:05.756186+0200,368008,369659,368309,180,1650,110645,0,0,0
2022-04-14T17:50:06.756213+0200,367987,368692,368342,201,688,111120,0,0,0
2022-04-14T17:50:07.756532+0200,368019,369060,368773,187,1056,111595,0,0,0
2022-04-14T17:50:08.758038+0200,368300,368990,368716,168,686,112071,0,0,0
2022-04-14T17:50:09.758216+0200,368268,368943,368647,208,663,112546,0,0,0
2022-04-14T17:50:10.760270+0200,368246,368970,368623,240,733,113022,0,0,0
2022-04-14T17:50:11.762053+0200,368188,368877,368567,266,688,113498,0,0,0
2022-04-14T17:50:12.763611+0200,368158,368837,368509,232,664,113974,0,0,0
2022-04-14T17:50:13.765813+0200,368125,369290,368523,225,1182,114450,0,0,0
2022-04-14T17:50:14.765976+0200,368070,372623,368496,152,4553,114925,0,0,0
2022-04-14T17:50:15.767907+0200,368044,369983,368414,203,1930,115401,0,0,0
2022-04-14T17:50:16.769885+0200,368027,368687,368416,171,665,115877,0,0,0
2022-04-14T17:50:17.771810+0200,367975,368638,368368,189,653,116353,0,0,0
2022-04-14T17:50:18.774323+0200,367925,368993,368695,237,1079,116829,0,0,0
2022-04-14T17:50:19.776183+0200,368310,369007,368711,212,682,117305,0,0,0
2022-04-14T17:50:20.777724+0200,368256,368948,368656,234,679,117781,0,0,0
2022-04-14T17:50:21.777971+0200,368251,368913,368635,199,660,118256,0,0,0
2022-04-14T17:50:22.779936+0200,368186,370454,368622,173,2240,118732,0,0,0
2022-04-14T17:50:23.779905+0200,368177,368863,368519,244,702,119207,0,0,0
2022-04-14T17:50:24.781811+0200,368126,368802,368442,172,663,119683,0,0,0
2022-04-14T17:50:25.783200+0200,368075,368771,368437,169,671,120159,0,0,0
2022-04-14T17:50:26.783172+0200,368037,368718,368357,172,672,120634,0,0,0
2022-04-14T17:50:27.783394+0200,367994,368717,368352,173,703,121109,0,0,0
2022-04-14T17:50:28.784941+0200,367975,368649,368345,179,660,121585,0,0,0
2022-04-14T17:50:29.785371+0200,367943,368640,368314,216,693,122060,0,0,0
2022-04-14T17:50:30.785674+0200,367932,369114,368862,109,1186,122535,0,0,0
2022-04-14T17:50:31.787621+0200,368400,369083,368742,270,684,123011,0,0,0
2022-04-14T17:50:32.789524+0200,368338,369061,368725,172,696,123487,0,0,0
2022-04-14T17:50:33.791583+0200,368312,368989,368663,222,686,123963,0,0,0
2022-04-14T17:50:34.793113+0200,368275,369035,368652,222,774,124439,0,0,0
2022-04-14T17:50:35.795580+0200,368234,368947,368579,309,699,124915,0,0,0
2022-04-14T17:50:36.797131+0200,368212,369154,368535,169,925,125391,0,0,0
2022-04-14T17:50:37.797260+0200,368182,368837,368557,207,644,125866,0,0,0
2022-04-14T17:50:38.799223+0200,368125,368832,368492,185,690,126342,0,0,0
2022-04-14T17:50:39.801192+0200,368107,368757,368398,180,641,126818,0,0,0
2022-04-14T17:50:40.803203+0200,368052,368721,368396,196,644,127294,0,0,0
2022-04-14T17:50:41.805081+0200,368002,369096,368746,153,1102,127770,0,0,0
2022-04-14T17:50:42.805490+0200,368418,369110,368770,218,665,128245,0,0,0
2022-04-14T17:50:43.806929+0200,368382,369077,368707,202,684,128721,0,0,0
2022-04-14T17:50:44.807204+0200,368343,369020,368739,196,666,129196,0,0,0
2022-04-14T17:50:45.808957+0200,368302,368986,368640,233,666,129672,0,0,0
2022-04-14T17:50:46.811246+0200,368271,368948,368641,211,659,130148,0,0,0
2022-04-14T17:50:47.812653+0200,368221,368902,368539,206,681,130624,0,0,0
2022-04-14T17:50:48.812931+0200,368172,368870,368555,227,679,131099,0,0,0
2022-04-14T17:50:49.814902+0200,368163,368820,368494,248,651,131575,0,0,0
2022-04-14T17:50:50.816829+0200,368124,368825,368503,182,702,132051,0,0,0
2022-04-14T17:50:51.818874+0200,368093,368765,368394,222,670,132527,0,0,0
2022-04-14T17:50:52.820803+0200,368039,368707,368397,217,640,133003,0,0,0
2022-04-14T17:50:53.823169+0200,368015,380190,368706,266,12177,133479,0,0,0
2022-04-14T17:50:54.824646+0200,368312,369023,368576,212,690,133955,0,0,0
2022-04-14T17:50:55.824821+0200,368276,368943,368607,186,662,134430,0,0,0
2022-04-14T17:50:56.826435+0200,368227,368896,368564,225,656,134906,0,0,0
2022-04-14T17:50:57.826642+0200,368195,368870,368525,227,666,135381,0,0,0
2022-04-14T17:50:58.828613+0200,368166,368842,368507,219,668,135857,0,0,0
2022-04-14T17:50:59.828619+0200,368139,368784,368443,233,654,136332,0,0,0
